"","Date_Time","Species","Ind","Rec","TRJ","Exp","Session","GS","Sex","ExT","Traj_num","T","RH","c","ta_mic","t_emit","Raw_X","Raw_Y","Raw_Z","Int01_X","Int01_Y","Int01_Z","Int01_angle2mic","Int01_speed","Int01_vel2mic","dur_Th12","dur_E12","FS_Th12","FS_E12","F_MAmp_Th12","F_MAmp_E12","PF_Th12","PF_E12","FE_Th12","FE_E12","LF12_Th12","LF12_E12","HF12_Th12","HF12_E12","peSL_dB_Th12","peSL_dB_E12","rmsSL_Th12","rmsSL_E12","SNR_Th12","SNR_E12","rmsSL_Th12_10cm","rmsSL_E12_10cm","E1","E2","BW","Harmonic","Q_0.75","Q_0.9","PC","Mean_dur_E12","Mean_PF_E12","Mean_LF12_E12","Mean_rmsSL_E12","AAFp","AAmeanFp","AALoF12","AAmeanLoF12","RHfix","thrDur2","avrgDD","realDD2","realDD","frqDD","rmsDD","durDD","TG"
"537",2019-04-10 01:43:39,"M.elegans","004","5","3","3","2019-04-09_018","M.group","M","24","3",23.3,96.5,346.8,8.2377,8.2324,0.34,1.76,1.06,0.34,1.76,1.06,23.52,3.69,3.31,2.6,1.8,116.2,100.15,73.7,73.7,66.25,67.25,59.73,62,56000,57750,113250,103750,101.1,101.1,95.1,96.3,20.73,21.92,115.1,116.3,119.249733479708,118.852725051033,46,"1st",114.725,115.55,"Si",1.7,75.6944444444444,58583.3333333333,96.3,-2.61475663729987,-3.13491432405325,-2.0493755282639,-2.09787626579121,"real",19.6470588235294,1,1.06,1.04,1.04,1,1.01,30
"541",2019-04-10 01:47:02,"M.keaysi","005","1","1","3","2019-04-09_019","M.keaysi","H","24","1",23.3,96.2,346.8,5.7252,5.7206,-0.8,0.32,2.47,-0.8,0.32,2.47,49.52,2.64,1.71,2,1.4,115.14,100.59,82.41,82.41,67,67.5,63.75,64.54,58750,59500,110250,104000,94,94,88,89,17.69,18.93,108,109,111.01029995664,110.461280356782,44.5,"1st",108.55,108.82,"Si",1.36666666666667,72.4166666666667,62000,95.1333333333333,-2.63212539113638,-2.93344326805762,-2.15384776997934,-2.30142514190257,"real",19.8536585365854,0.96,0.75,0.75,0.99,0.73,0.97,30
"545",2019-04-10 01:47:55,"M.keaysi","005","6","1","3","2019-04-09_019","M.keaysi","H","24","2",23.4,95.8,346.9,0.861,0.8568,-0.19,1.25,1.82,-0.19,1.25,1.82,34.53,3.42,2.81,2.3,1.7,120.6,108.3,73.4,73.4,68.5,71.25,63.72,65.21,59250,60250,119000,108500,100.3,100.3,93.8,94.5,33.05,33.97,113.8,114.5,117.417278360176,116.804489213783,48.25,"1st",111.875,113.45,"Si",1.36666666666667,72.4166666666667,62000,95.1333333333333,-2.86376595521537,-2.93578933352263,-2.19924312200789,-2.30288008349746,"real",18.5365853658537,0.96,1.01,0.94,0.97,0.94,1.03,30
"549",2019-04-10 01:47:55,"M.keaysi","005","6","2","3","2019-04-09_019","M.keaysi","H","24","2",23.4,95.8,346.9,6.1874,6.1801,-0.05,2.52,0.82,-0.05,2.52,0.82,12.15,2.76,2.7,2.3,1.7,120.34,108.32,96.25,96.25,67,67.75,63.02,64.65,58750,59750,117750,108750,98.4,98.4,92.3,93.2,33.05,33.97,112.3,113.2,115.917278360176,115.504489213783,49,"1st",111.3,112.44,"Si",1.36666666666667,72.4166666666667,62000,95.1333333333333,-2.64925409795637,-2.93578933352263,-2.16980583858512,-2.30288008349746,"real",18.5365853658537,0.96,0.97,0.91,0.99,0.88,1.03,30
"555",2019-04-10 02:13:52,"M.oxyotus","001","1","1","3","2019-04-09_022","M.oxyotus","H","25","2",23.7,95.3,347,3.0576,3.0522,0.84,1.48,1.9,0.84,1.48,1.9,39.54,2.61,2.01,3.4,2.5,97.01,84.75,80.68,80.68,53.25,53.5,96.96,50,44750,45500,115250,115500,94.3,94.3,88.5,89.2,17.32,18.92,108.5,109.2,113.814789170423,113.17940008672,70,"1st",107.325,108.35,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.80636149391485,-1.83472027692402,-1.36940740997799,-1.39004189048307,"real",17.1764705882353,0.74,0.92,0.8,0.74,0.8,0.85,30
"561",2019-04-10 02:13:52,"M.oxyotus","001","1","2","3","2019-04-09_022","M.oxyotus","H","25","2",23.7,95.3,347,7.7221,7.7177,1.06,0.72,2.04,1.05,0.72,2.04,57.29,2.41,1.31,2.7,2.1,84.53,80.4,73.44,73.44,54,54.5,48.76,50.52,45250,46000,86250,83750,92.6,92.6,86.5,87.1,17.32,18.92,106.5,107.1,110.81363764159,110.322192947339,37.75,"1st",106.75,106.96,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.86318751445862,-1.83472027692402,-1.39568571556466,-1.39004189048307,"real",18.5882352941176,0.74,0.77,0.72,0.74,0.72,0.79,30
"564",2019-04-10 02:14:44,"M.oxyotus","001","4","1","3","2019-04-09_022","M.oxyotus","H","25","1",23.7,95.6,347.1,2.5937,2.5875,0.53,1.85,2.06,0.53,1.85,2.06,39.07,3.2,2.51,3,2.3,97.95,85.75,74,74,53.75,54,96.54,99.16,44750,45500,121500,121500,96.6,96.6,90,90.7,18.7,19.92,110,110.7,114.771212547197,114.317278360176,76,"1st",108.5,109.82,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.83230814918037,-1.83230814918037,-1.36721364088479,-1.38783320397135,"real",17.8823529411765,0.74,0.96,0.86,0.74,0.86,0.82,30
"567",2019-04-10 02:14:52,"M.oxyotus","001","5","1","3","2019-04-09_022","M.oxyotus","H","25","2",23.7,95.6,347.1,2.1537,2.1496,-0.31,0.88,2.2,-0.31,0.88,2.2,62.57,2.67,1.22,1.6,1.1,62,58,54.22,54.22,52.75,52.75,48,48.99,44250,44750,103500,103250,88.5,88.5,83.3,84.4,30.88,32.1,103.3,104.4,105.341199826559,104.813926851582,58.5,"1st",104.2,104.32,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.76163752115775,-1.83230814918037,-1.32811420762278,-1.38783320397135,"real",22.1176470588235,0.74,0.57,0.63,0.74,0.63,0.67,30
"571",2019-04-10 02:14:52,"M.oxyotus","001","5","2","3","2019-04-09_022","M.oxyotus","H","25","2",23.7,95.6,347.1,5.7043,5.6976,0.21,2.15,1.99,0.21,2.15,1.99,39.5,2.73,2.11,3.1,2.3,92.45,84.07,74.01,74.01,52.5,52.75,95.76,49.5,44500,45000,107000,107000,92.7,92.7,86.9,87.7,30.88,32.1,106.9,107.7,111.813616938343,111.317278360176,62,"1st",106.35,107.16,"Si",1.7,54,45892.8571428571,87.6285714285714,-1.76163752115775,-1.83230814918037,-1.34110824589551,-1.38783320397135,"real",17.8823529411765,0.74,0.83,0.75,0.74,0.74,0.82,30
"575",2019-04-10 22:16:59,"M.keaysi","008","5","1","1","2019-04-10_001","M.keaysi","H","20","1",20,96.3,344.8,0.1994,0.193,-0.13,2.23,1.21,-0.13,2.23,1.21,25.84,2.86,2.6,2.1,1.5,107.61,97.92,82.72,82.72,83,83,58.47,62.74,56750,59250,105250,101500,100.3,100.3,93.1,94.1,24.2,25.08,113.1,114.1,116.322192947339,115.860912590557,42.25,"1st",112.8,113.58,"Si",1.4,82.875,58625,92.55,-3.48468216552265,-3.47772224211965,-2.17264503399353,-2.1386158348432,"real",19.5714285714286,0.83,0.9,0.88,0.83,0.88,0.84,30
"580",2019-04-10 22:18:17,"M.keaysi","008","11","1","1","2019-04-10_001","M.keaysi","H","20","1",19.9,96.7,344.8,6.8208,6.8164,-0.44,1.38,1.57,-0.44,1.38,1.57,19.92,3.48,3.3,1.9,1.3,108.69,98.09,82.57,82.57,82.75,82.75,57.45,61.45,54750,58000,105500,102750,96.7,96.7,90,91,24.47,25.78,110,111,112.787536009528,112.139433523068,44.75,"1st",109.5,110.4,"Si",1.4,82.875,58625,92.55,-3.46637581550525,-3.4733210483843,-2.10289937062176,-2.13682113932806,"real",20.4285714285714,0.83,0.76,0.77,0.83,0.77,0.81,30
"582",2019-04-10 22:21:30,"M.keaysi","009","1","1","1","2019-04-10_002","M.keaysi","H","20","1",19.9,97.2,344.8,0.4176,0.4135,0.25,1.34,0.81,0.25,1.34,0.81,14.51,2.84,2.8,2.5,1.6,114.11,102.71,80.94,80.94,82.25,82.25,64.52,70,62750,67250,113250,105000,103.9,103.9,97,98.4,29.24,30.22,117,118.4,120.97940008672,120.441199826559,37.75,"1st",114.95,117.02,"Si",1.6,82.25,67250,98.4,-3.4392242448804,-3.4392242448804,-2.60728948513925,-2.60728948513925,"real",20,1.06,1.06,1.06,1.06,1.06,1.06,30
"586",2019-04-10 22:46:17,"M.keaysi","008","3","1","2","2019-04-10_005","M.keaysi","H","22","1",21.4,98,345.7,0.3173,0.313,0.56,1.13,0.34,0.56,1.13,0.34,21.53,1.93,1.8,1.9,1.3,114.8,101.79,71.25,71.25,72,72,112.25,60.75,54750,57750,117000,104000,95.9,95.9,89.9,91,14.44,15.8,109.9,111,112.687536009528,112.139433523068,46.25,"1st",109,110.2,"Si",1.4,82.875,58625,92.55,-2.89228699988604,-3.53543501727576,-2.07005984123144,-2.11947704929821,"real",20.4285714285714,0.82,0.79,0.8,0.86,0.77,0.81,30
"589",2019-04-10 22:46:52,"M.keaysi","008","4","1","2","2019-04-10_005","M.keaysi","H","22","1",21.5,98.6,345.8,1.6319,1.6261,0.24,1.98,1.03,0.24,1.98,1.03,9.16,2.84,2.8,2.6,1.9,118.6,107.4,95.55,95.55,82.5,82.5,115.01,62.41,56500,59000,121500,108250,105.1,105.1,98.6,99.5,17.58,18.57,118.6,119.5,122.749733479708,122.287536009528,49.25,"1st",114.9,117.66,"Si",1.4,82.875,58625,92.55,-3.51512240622492,-3.53758944080078,-2.13567694095351,-2.11437921268608,"real",17.8571428571429,0.82,1.2,1.1,0.82,1.1,0.9,30
"595",2019-04-10 22:48:14,"M.keaysi","008","6","1","2","2019-04-10_005","M.keaysi","H","22","1",21.5,99,345.8,0.0749,0.0705,0.31,1.49,1.31,0.31,1.49,1.31,31.61,3.29,2.81,2.5,1.7,115.19,99.04,82.1,82.1,82,82,57.75,60.78,55250,57750,114000,102250,104.5,104.5,97,98.1,20.45,21.14,117,118.1,120.97940008672,120.404489213783,44.5,"1st",115.7,117.14,"Si",1.4,82.875,58625,92.55,-3.48433020722111,-3.53683554878011,-2.06217569330664,-2.11176031715548,"real",18.7142857142857,0.82,1.1,1.04,0.83,1.04,0.87,30
"599",2019-04-10 22:53:33,"M.keaysi","009","1","1","2","2019-04-10_006","M.keaysi","H","22","1",21.6,98.6,345.8,0.3369,0.334,0.07,0.99,0.93,0.07,0.99,0.93,29.33,3.23,2.81,2.4,1.7,106.69,99.05,81.5,81.5,82.25,82.25,63,63.79,58250,59500,106250,103500,95.6,95.6,88.5,89.5,20.73,22.07,108.5,109.5,112.302112417116,111.804489213783,44,"1st",109.5,109.5,"Si",1.6,82.25,67250,98.4,-3.50300837896523,-3.50300837896523,-2.16293684489765,-2.611499171962,"real",19.625,1.05,0.73,0.72,1.05,0.72,1.07,30
"600",2019-04-10 22:53:41,"M.keaysi","009","2","1","2","2019-04-10_006","M.keaysi","H","22","2",21.6,98.6,345.8,9.7686,9.7636,-0.52,1.56,1.59,-0.52,1.56,1.59,21.74,3.35,3.1,2,1.5,118.43,108.87,82.54,82.54,83.75,83.75,62.97,66.25,60250,63250,117250,111250,105.6,105.6,98.7,99.6,24.83,26.21,118.7,119.6,121.71029995664,121.360912590557,48,"1st",118.025,118.97,"Si",1.6,82.25,67250,98.4,-3.59324656520568,-3.50300837896523,-2.37854320379866,-2.611499171962,"real",20.375,1.05,1.08,1.1,1.05,1.11,1.04,30
"604",2019-04-10 22:53:41,"M.keaysi","009","2","2","2","2019-04-10_006","M.keaysi","H","22","2",21.6,98.6,345.8,6.2342,6.229,-0.69,1.61,1.58,-0.69,1.61,1.58,36.53,3.63,2.91,2.3,1.7,111.15,99.9,81.45,81.45,82.75,82.75,63.74,65.02,59250,60500,109750,103750,98.7,98.7,91.4,92.2,24.83,26.21,111.4,112.2,115.017278360176,114.504489213783,43.25,"1st",112.2,112.2,"Si",1.6,82.25,67250,98.4,-3.53307018870911,-3.50300837896523,-2.22013069529401,-2.611499171962,"real",19.625,1.05,0.82,0.81,1.05,0.81,1.07,30
"606",2019-04-10 22:53:52,"M.keaysi","009","3","1","2","2019-04-10_006","M.keaysi","H","22","2",21.6,98.6,345.8,6.0798,6.0764,-0.58,1.03,1.03,-0.58,1.03,1.03,25.33,3.88,3.51,2.4,1.7,120.41,108.75,73,73,72.75,73,63.24,65.29,59500,61500,118250,107500,101.1,101.1,94.2,95.2,15.09,15.68,114.2,115.2,118.002112417116,117.504489213783,46,"1st",115.15,115.18,"Si",1.6,82.25,67250,98.4,-2.95048976056018,-3.50300837896523,-2.27755116189896,-2.611499171962,"real",19.625,1.05,0.98,0.97,1.11,0.92,1.07,30
"607",2019-04-10 22:53:52,"M.keaysi","009","3","2","2","2019-04-10_006","M.keaysi","H","22","2",21.6,98.6,345.8,10.6791,10.6752,0.12,1.32,0.85,0.12,1.32,0.85,26.62,3.03,2.71,2.3,1.6,118.75,100.75,73.08,73.08,72.75,72.75,62.99,65.28,59500,61000,115750,103250,98.2,98.2,91.4,92.6,15.09,15.68,111.4,112.6,115.017278360176,114.641199826559,42.25,"1st",112.6,112.6,"Si",1.6,82.25,67250,98.4,-2.9356676212508,-3.50300837896523,-2.24881343772409,-2.611499171962,"real",20,1.05,0.86,0.86,1.11,0.83,1.05,30
"608",2019-04-10 22:54:06,"M.keaysi","009","4","1","2","2019-04-10_006","M.keaysi","H","22","1",21.6,98.6,345.8,3.9134,3.9093,-0.32,1.4,1.06,-0.32,1.4,1.06,22.44,4.03,3.71,2.5,1.8,118.81,109.32,73.69,73.69,73.5,73.5,63.02,65.52,59250,61250,117750,110000,105.2,105.2,98.7,99.8,27.92,28.99,118.7,119.8,122.67940008672,122.352725051033,48.75,"1st",117.9,119.04,"Si",1.6,82.25,67250,98.4,-2.98015418987655,-3.50300837896523,-2.26317552923022,-2.611499171962,"real",19.25,1.05,1.21,1.17,1.1,1.11,1.09,30
"611",2019-04-10 22:54:15,"M.keaysi","009","5","1","2","2019-04-10_006","M.keaysi","H","22","1",21.6,98.6,345.8,4.5482,4.5442,-0.58,1.25,1.1,-0.58,1.25,1.1,52.19,3.47,2.13,2.4,1.7,115.35,99.35,81,81,73,73,62.49,63.51,57750,59000,112750,103250,98.3,98.3,91.1,92.2,20.33,21.23,111.1,112.2,114.902112417116,114.504489213783,44.25,"1st",111.3,111.84,"Si",1.6,82.25,67250,98.4,-2.95048976056018,-3.50300837896523,-2.13442919137766,-2.611499171962,"real",19.625,1.05,0.86,0.85,1.11,0.81,1.07,30
"614",2019-04-10 22:54:23,"M.keaysi","009","6","1","2","2019-04-10_006","M.keaysi","H","22","2",21.6,98.6,345.8,1.1743,1.1707,-0.57,1.04,0.7,-0.57,1.04,0.7,28.95,3.21,2.81,2.3,1.5,115.44,99.5,72.92,72.92,72.5,72.5,63.28,64.77,59250,60500,113000,102500,93.3,93.3,86.4,87.6,19.71,20.64,106.4,107.6,110.017278360176,109.360912590557,42,"1st",107.6,107.6,"Si",1.6,82.25,67250,98.4,-2.92085232343329,-3.50300837896523,-2.22013069529401,-2.611499171962,"real",20.375,1.05,0.67,0.69,1.11,0.66,1.04,30
"616",2019-04-10 22:54:23,"M.keaysi","009","6","2","2","2019-04-10_006","M.keaysi","H","22","2",21.6,98.6,345.8,5.6349,5.631,-0.7,1.16,1,-0.7,1.16,1,36.59,3,2.41,2.4,1.6,118.15,104.05,81.25,81.25,73.75,73.75,63.25,64.97,59250,61750,116500,104750,100.3,100.3,93.2,94.6,19.71,20.64,113.2,114.6,117.002112417116,116.641199826559,43,"1st",114.525,114.57,"Si",1.6,82.25,67250,98.4,-2.994996297787,-3.50300837896523,-2.29194013483045,-2.611499171962,"real",20,1.05,0.94,0.94,1.1,0.9,1.05,30
"617",2019-04-10 23:28:08,"M.keaysi","008","3","1","3","2019-04-10_009","M.keaysi","H","24","2",23.1,93.1,346.7,0.057,0.0544,0,0.81,1.54,0,0.81,1.54,43.33,3.2,2.33,1.7,1.3,102.75,97.16,82.71,82.71,75.75,75.75,58.21,61.25,55750,58250,103750,100750,93.8,93.8,86.7,87.5,20.52,21.05,106.7,107.5,109.004489213783,108.639433523068,42.5,"1st",106.3,107.02,"Si",1.4,82.875,58625,92.55,-3.15597140422323,-3.59488989080016,-2.10843310655564,-2.13018342963872,"real",20.4285714285714,0.82,0.66,0.67,0.85,0.65,0.8,30
"620",2019-04-10 23:28:08,"M.keaysi","008","3","2","3","2019-04-10_009","M.keaysi","H","24","2",23.1,93.1,346.7,3.9006,3.8937,0.13,2.36,1.54,0.13,2.36,1.54,27.67,3.05,2.7,2.2,1.6,103.27,96.44,83.3,83.3,83.5,83.5,59.25,63.02,57250,60250,104000,99500,102.4,102.4,94.5,95.4,20.52,21.05,114.5,115.4,117.924226808222,117.441199826559,39.25,"1st",113.6,114.68,"Si",1.4,82.875,58625,92.55,-3.63360914075266,-3.59488989080016,-2.22489352682773,-2.13018342963872,"real",19.1428571428571,0.82,0.95,0.92,0.82,0.92,0.85,30
"623",2019-04-10 23:30:06,"M.keaysi","008","6","1","3","2019-04-10_009","M.keaysi","H","24","1",23.1,91.3,346.6,0.4381,0.4329,0,1.77,0.97,0,1.77,0.97,16.24,3.44,3.3,2.2,1.5,116.08,100.93,82.7,82.7,83.25,83.25,116.85,63.29,57250,60000,119250,104750,101.8,101.8,94.9,96.1,17.16,18.16,114.9,116.1,118.324226808222,117.860912590557,44.75,"1st",115.725,115.95,"Si",1.4,82.875,58625,92.55,-3.62318535667861,-3.60015588202312,-2.22370594415884,-2.14379496955777,"real",19.5714285714286,0.82,0.97,0.95,0.82,0.95,0.83,30
"627",2019-04-10 23:38:39,"M.keaysi","009","6","1","3","2019-04-10_010","M.keaysi","H","24","2",23,91.2,346.6,8.5267,8.5206,0.05,2.08,1.46,0.05,2.08,1.46,15.73,3.33,3.2,2.6,1.8,114.95,102.16,84.01,84.01,84.5,84.5,63.02,65.47,59500,62500,114750,105000,106.7,106.7,98.1,99.2,19.05,19.3,118.1,119.2,122.249733479708,121.752725051033,42.5,"1st",117.375,118.47,"Si",1.6,82.25,67250,98.4,-3.69705998768179,-3.55941239065016,-2.37183634136139,-2.65286074764734,"real",19.25,1.05,1.1,1.07,1.04,1.08,1.08,30
"629",2019-04-10 23:38:39,"M.keaysi","009","6","2","3","2019-04-10_010","M.keaysi","H","24","2",23,91.2,346.6,0.3677,0.3642,0.67,0.95,0.8,0.67,0.95,0.8,31.34,2.47,2.11,2.7,1.9,115.3,101.3,73.62,73.62,67,68.25,62.75,63.79,58250,59250,112000,104500,95.6,95.6,89.4,90.5,19.05,19.3,109.4,110.5,113.71363764159,113.287536009528,45.25,"1st",110.5,110.5,"Si",1.6,82.25,67250,98.4,-2.71250112703911,-3.55941239065016,-2.18215724146239,-2.65286074764734,"real",18.875,1.05,0.84,0.8,1.13,0.75,1.1,30
"630",2019-04-10 23:38:52,"M.keaysi","009","7","1","3","2019-04-10_010","M.keaysi","H","24","1",23,91.2,346.6,4.7547,4.7486,0.27,2.08,1.06,0.27,2.08,1.06,3.54,3.31,3.3,2.3,1.6,119.97,109.75,97.3,97.3,74.75,74.75,63.03,65.91,59500,62250,119250,111500,104.1,104.1,97.5,98.4,20.41,21.01,117.5,118.4,121.117278360176,120.441199826559,49.25,"1st",117.2,117.92,"Si",1.6,82.25,67250,98.4,-3.1033200391761,-3.55941239065016,-2.35716291396915,-2.65286074764734,"real",20,1.05,1.09,1.09,1.09,1.05,1.05,30
"633",2019-04-10 23:39:01,"M.keaysi","009","8","1","3","2019-04-10_010","M.keaysi","H","24","2",23,91.2,346.6,0.4846,0.4796,0.52,1.64,1.28,0.52,1.64,1.28,14.15,2.58,2.5,2.1,1.6,119,109.96,82.8,82.8,83.5,83.5,64.76,68.5,62000,65000,118500,109750,105.6,105.6,99.2,100.1,25.17,25.77,119.2,120.1,122.422192947339,122.141199826559,44.75,"1st",118.1,119.3,"Si",1.6,82.25,67250,98.4,-3.63584158583782,-3.55941239065016,-2.51924524371217,-2.65286074764734,"real",20,1.05,1.11,1.11,1.04,1.12,1.05,30
"636",2019-04-10 23:39:01,"M.keaysi","009","8","2","3","2019-04-10_010","M.keaysi","H","24","2",23,91.2,346.6,7.6516,7.6474,-0.71,1.23,0.75,-0.71,1.23,0.75,27.89,3.18,2.81,2.2,1.5,112.67,101.1,83.5,83.5,83.75,83.75,64.25,65.54,60250,62000,110000,105250,100.9,100.9,93.5,94.5,25.17,25.77,113.5,114.5,116.924226808222,116.260912590557,43.25,"1st",113.35,114.04,"Si",1.6,82.25,67250,98.4,-3.65114002441478,-3.55941239065016,-2.34250251721881,-2.65286074764734,"real",20.375,1.05,0.87,0.89,1.04,0.89,1.03,30
"640",2019-04-11 21:44:03,"M.riparius","012","1","1","1","2019-04-11_001","M.riparius","H","21","1",21.1,95.4,345.5,3.4815,3.4741,0.32,2.46,1.77,0.32,2.46,1.77,25.11,2.37,2.2,2.3,1.6,112.25,100.3,82.64,82.64,74.5,74.5,61.29,63.25,57750,59750,108500,102750,102.3,102.3,94.4,95.5,19.51,20.45,114.4,115.5,118.017278360176,117.541199826559,43,"1st",114.8,115.2,"Si",1.7,75.5833333333333,58666.6666666667,94.0666666666667,-3.04230449167889,-3.10476942181269,-2.20145349461474,-2.14076544406049,"real",20.3529411764706,0.91,0.96,0.97,0.91,0.97,0.89,30
"646",2019-04-11 21:44:11,"M.riparius","012","2","1","1","2019-04-11_001","M.riparius","H","21","2",21.1,95.4,345.5,0.2024,0.1972,0.25,1.64,1.86,0.25,1.64,1.86,39.52,2.61,2.01,2.2,1.7,104,97.33,82.25,82.25,75.25,75.25,60.77,62.48,57000,58500,104750,101000,102.3,102.3,94.4,95.1,26.22,26.32,114.4,115.1,117.824226808222,117.404489213783,42.5,"1st",112.8,114.18,"Si",1.7,75.5833333333333,58666.6666666667,94.0666666666667,-3.0855423919156,-3.10476942181269,-2.1314475438612,-2.14076544406049,"real",20,0.91,0.95,0.95,0.91,0.95,0.91,30
"649",2019-04-11 21:44:11,"M.riparius","012","2","2","1","2019-04-11_001","M.riparius","H","21","2",21.1,95.4,345.5,8.0724,8.0659,-0.73,2.03,1.75,-0.73,2.03,1.75,33.76,2.41,2,2.6,1.8,110.4,98.59,81.5,81.5,77,77,60.75,62.49,56750,57750,106500,102750,97.8,97.8,90.6,91.6,26.22,26.32,110.6,111.6,114.749733479708,114.152725051033,45,"1st",111.375,111.51,"Si",1.7,75.5833333333333,58666.6666666667,94.0666666666667,-3.18655125018272,-3.10476942181269,-2.08958186079443,-2.14076544406049,"real",19.6470588235294,0.91,0.82,0.81,0.9,0.81,0.92,30
"656",2019-04-11 21:56:39,"M.riparius","013","1","1","1","2019-04-11_002","M.riparius","H","21","2",20.9,97.2,345.4,3.9485,3.9434,0.01,1.74,1.57,0.01,1.74,1.57,9.34,3.24,3.2,2.6,1.8,112,99.13,83.07,83.07,73.75,73.75,59,60.75,55000,56250,112750,100500,102.5,102.5,94.8,95.8,24.5,25.49,114.8,115.8,118.949733479708,118.352725051033,44.25,"1st",114.4,115.2,"Si",1.9,73.34375,56062.5,93.2625,-2.9900077915854,-2.96660098832564,-1.99722750664525,-1.98684986827718,"real",20.3157894736842,0.89,0.97,0.99,0.88,0.99,0.87,30
"661",2019-04-11 21:56:39,"M.riparius","013","1","2","1","2019-04-11_002","M.riparius","H","21","2",20.9,97.2,345.4,1.2151,1.2116,-1.03,0.44,1.64,-1.03,0.44,1.64,42.88,1.9,1.41,2.6,1.8,117.25,99.69,80.84,80.84,76.25,76.25,58.25,60.28,55000,57250,121750,102500,99.9,99.9,92.5,93.6,24.5,25.49,112.5,113.6,116.649733479708,116.152725051033,45.25,"1st",112.85,113.3,"Si",1.9,73.34375,56062.5,93.2625,-3.13428083281792,-2.96660098832564,-2.05270686079596,-1.98684986827718,"real",20.3157894736842,0.89,0.87,0.89,0.87,0.9,0.87,30
"665",2019-04-11 21:56:46,"M.riparius","013","2","1","1","2019-04-11_002","M.riparius","H","21","3",20.9,97.2,345.4,6.1317,6.1253,0.26,2.2,1.21,0.26,2.2,1.21,0,2.95,2.99,2.9,2.1,118.1,100.16,81.95,81.95,74.25,74.25,58.5,59.52,54250,55750,121750,103250,97.4,97.4,90.4,91.4,19.21,20.02,110.4,111.4,115.02397997899,114.622192947339,47.5,"1st",109.7,110.72,"Si",1.9,73.34375,56062.5,93.2625,-3.01883112444032,-2.96660098832564,-1.96957177069821,-1.98684986827718,"real",19.3684210526316,0.89,0.83,0.81,0.88,0.81,0.91,30
"672",2019-04-11 21:56:46,"M.riparius","013","2","2","1","2019-04-11_002","M.riparius","H","21","3",20.9,97.2,345.4,10.5113,10.5067,-0.16,1.58,1.06,-0.16,1.58,1.06,18.48,3.42,3.2,2.6,1.8,117.36,100.5,81.44,81.44,74.75,74.75,58.52,59.99,54500,56000,122000,103750,98,98,91.5,92.6,19.21,20.02,111.5,112.6,115.649733479708,115.152725051033,47.75,"1st",112.2,112.45,"Si",1.9,73.34375,56062.5,93.2625,-3.04767052368623,-2.96660098832564,-1.98339244187599,-1.98684986827718,"real",20.3157894736842,0.89,0.84,0.85,0.88,0.86,0.87,30
"677",2019-04-11 21:56:46,"M.riparius","013","2","3","1","2019-04-11_002","M.riparius","H","21","3",20.9,97.2,345.4,2.9857,2.9802,0.19,1.92,1.18,0.19,1.92,1.18,24.72,3.49,3.21,2.9,2.1,117.38,101,81.7,81.7,74.5,74.5,58.74,59.54,54500,56000,122000,103750,100.8,100.8,93.8,94.8,19.21,20.02,113.8,114.8,118.42397997899,118.022192947339,47.75,"1st",113,114.08,"Si",1.9,73.34375,56062.5,93.2625,-3.03324884410127,-2.96660098832564,-1.98339244187599,-1.98684986827718,"real",19.3684210526316,0.89,0.97,0.94,0.88,0.95,0.91,30
"681",2019-04-11 21:56:59,"M.riparius","013","3","1","1","2019-04-11_002","M.riparius","H","21","2",20.9,97.2,345.4,0.7561,0.7517,0.05,1.53,1.11,0.05,1.53,1.11,31.71,3.25,2.81,2.7,1.9,112.04,96.6,73.4,73.4,63.5,64.25,58,59.25,53750,55000,104000,99750,94.8,94.8,88,89.1,24.51,25.6,108,109.1,112.31363764159,111.887536009528,44.75,"1st",108.875,109.01,"Si",1.9,73.34375,56062.5,93.2625,-2.44623470799443,-2.96660098832564,-1.92819861378965,-1.98684986827718,"real",20,0.89,0.76,0.76,0.92,0.73,0.89,30
"685",2019-04-11 21:56:59,"M.riparius","013","3","2","1","2019-04-11_002","M.riparius","H","21","2",20.9,97.2,345.4,7.9299,7.9241,-0.04,1.98,1.25,-0.04,1.98,1.25,16.39,3.08,3,2.6,1.8,114.8,98.5,81.8,81.8,74.5,74.5,58.75,60.24,54750,56000,110750,102000,99.9,99.9,92.8,93.9,24.51,25.6,112.8,113.9,116.949733479708,116.452725051033,46,"1st",113.45,113.7,"Si",1.9,73.34375,56062.5,93.2625,-3.03324884410127,-2.96660098832564,-1.98339244187599,-1.98684986827718,"real",20.3157894736842,0.89,0.89,0.91,0.88,0.91,0.87,30
